record_id	node	label	n_experiment
exp_2716	CARO_0000003	anatomical structure	1786
exp_2933	CARO_0000003	anatomical structure	1786
exp_0617	CARO_0000003	anatomical structure	1786
exp_0142	CARO_0000003	anatomical structure	1786
exp_0141	CARO_0000003	anatomical structure	1786
exp_1671	CARO_0000003	anatomical structure	1786
exp_1675	CARO_0000003	anatomical structure	1786
exp_1673	CARO_0000003	anatomical structure	1786
exp_1674	CARO_0000003	anatomical structure	1786
exp_3029	CARO_0000003	anatomical structure	1786
exp_3030	CARO_0000003	anatomical structure	1786
exp_2473	CARO_0000003	anatomical structure	1786
exp_2976	CARO_0000003	anatomical structure	1786
exp_3609	CARO_0000003	anatomical structure	1786
exp_2745	CARO_0000003	anatomical structure	1786
exp_3279	CARO_0000003	anatomical structure	1786
exp_3280	CARO_0000003	anatomical structure	1786
exp_2603	CARO_0000003	anatomical structure	1786
exp_0444	CARO_0000003	anatomical structure	1786
exp_0445	CARO_0000003	anatomical structure	1786
exp_0446	CARO_0000003	anatomical structure	1786
exp_0447	CARO_0000003	anatomical structure	1786
exp_0448	CARO_0000003	anatomical structure	1786
exp_0449	CARO_0000003	anatomical structure	1786
exp_0443	CARO_0000003	anatomical structure	1786
exp_2015	CARO_0000003	anatomical structure	1786
exp_1099	CARO_0000003	anatomical structure	1786
exp_1100	CARO_0000003	anatomical structure	1786
exp_2014	CARO_0000003	anatomical structure	1786
exp_2618	CARO_0000003	anatomical structure	1786
exp_2497	CARO_0000003	anatomical structure	1786
exp_0740	CARO_0000003	anatomical structure	1786
exp_3400	CARO_0000003	anatomical structure	1786
exp_0924	CARO_0000003	anatomical structure	1786
exp_2416	CARO_0000003	anatomical structure	1786
exp_3730	CARO_0000003	anatomical structure	1786
exp_2421	CARO_0000003	anatomical structure	1786
exp_3395	CARO_0000003	anatomical structure	1786
exp_2340	CARO_0000003	anatomical structure	1786
exp_2013	CARO_0000003	anatomical structure	1786
exp_2498	CARO_0000003	anatomical structure	1786
exp_3669	CARO_0000003	anatomical structure	1786
