record_id	node	label	n_experiment
exp_3052	UBERON_0010000	multicellular anatomical structure	545
exp_3053	UBERON_0010000	multicellular anatomical structure	545
exp_2714	UBERON_0010000	multicellular anatomical structure	545
exp_3048	UBERON_0010000	multicellular anatomical structure	545
exp_3049	UBERON_0010000	multicellular anatomical structure	545
exp_3773	UBERON_0010000	multicellular anatomical structure	545
exp_3774	UBERON_0010000	multicellular anatomical structure	545
exp_2932	UBERON_0010000	multicellular anatomical structure	545
exp_2934	UBERON_0010000	multicellular anatomical structure	545
exp_3046	UBERON_0010000	multicellular anatomical structure	545
exp_3047	UBERON_0010000	multicellular anatomical structure	545
exp_3367	UBERON_0010000	multicellular anatomical structure	545
exp_2402	UBERON_0010000	multicellular anatomical structure	545
exp_2403	UBERON_0010000	multicellular anatomical structure	545
exp_3031	UBERON_0010000	multicellular anatomical structure	545
exp_3783	UBERON_0010000	multicellular anatomical structure	545
exp_3784	UBERON_0010000	multicellular anatomical structure	545
exp_2474	UBERON_0010000	multicellular anatomical structure	545
exp_3713	UBERON_0010000	multicellular anatomical structure	545
exp_3716	UBERON_0010000	multicellular anatomical structure	545
exp_3607	UBERON_0010000	multicellular anatomical structure	545
exp_3610	UBERON_0010000	multicellular anatomical structure	545
exp_2811	UBERON_0010000	multicellular anatomical structure	545
exp_2814	UBERON_0010000	multicellular anatomical structure	545
exp_2815	UBERON_0010000	multicellular anatomical structure	545
exp_2742	UBERON_0010000	multicellular anatomical structure	545
exp_0741	UBERON_0010000	multicellular anatomical structure	545
exp_0743	UBERON_0010000	multicellular anatomical structure	545
exp_3399	UBERON_0010000	multicellular anatomical structure	545
exp_3401	UBERON_0010000	multicellular anatomical structure	545
exp_3402	UBERON_0010000	multicellular anatomical structure	545
exp_0926	UBERON_0010000	multicellular anatomical structure	545
exp_3779	UBERON_0010000	multicellular anatomical structure	545
exp_0634	UBERON_0010000	multicellular anatomical structure	545
exp_3780	UBERON_0010000	multicellular anatomical structure	545
exp_0633	UBERON_0010000	multicellular anatomical structure	545
exp_3728	UBERON_0010000	multicellular anatomical structure	545
exp_3731	UBERON_0010000	multicellular anatomical structure	545
exp_2422	UBERON_0010000	multicellular anatomical structure	545
exp_3394	UBERON_0010000	multicellular anatomical structure	545
exp_3396	UBERON_0010000	multicellular anatomical structure	545
exp_2821	UBERON_0010000	multicellular anatomical structure	545
exp_2822	UBERON_0010000	multicellular anatomical structure	545
exp_2818	UBERON_0010000	multicellular anatomical structure	545
exp_2819	UBERON_0010000	multicellular anatomical structure	545
exp_3050	UBERON_0010000	multicellular anatomical structure	545
exp_3051	UBERON_0010000	multicellular anatomical structure	545
exp_3044	UBERON_0010000	multicellular anatomical structure	545
exp_3045	UBERON_0010000	multicellular anatomical structure	545
exp_3789	UBERON_0010000	multicellular anatomical structure	545
exp_3790	UBERON_0010000	multicellular anatomical structure	545
exp_3785	UBERON_0010000	multicellular anatomical structure	545
exp_3786	UBERON_0010000	multicellular anatomical structure	545
exp_3777	UBERON_0010000	multicellular anatomical structure	545
exp_3778	UBERON_0010000	multicellular anatomical structure	545
exp_3775	UBERON_0010000	multicellular anatomical structure	545
exp_3776	UBERON_0010000	multicellular anatomical structure	545
exp_3787	UBERON_0010000	multicellular anatomical structure	545
exp_3788	UBERON_0010000	multicellular anatomical structure	545
exp_3781	UBERON_0010000	multicellular anatomical structure	545
exp_3782	UBERON_0010000	multicellular anatomical structure	545
exp_1134	UBERON_0010000	multicellular anatomical structure	545
exp_1135	UBERON_0010000	multicellular anatomical structure	545
exp_3971	UBERON_0010000	multicellular anatomical structure	545
exp_1113	UBERON_0010000	multicellular anatomical structure	545
exp_1117	UBERON_0010000	multicellular anatomical structure	545
exp_1115	UBERON_0010000	multicellular anatomical structure	545
exp_1175	UBERON_0010000	multicellular anatomical structure	545
