TF_Symbol	PubMed_ID	Source	Status
AHR	17900530	CytReg	curated
AHR	18289803	CytReg	curated
AHR	21104991	CytReg	curated
AHR	16679317	CytReg	unexamined
AHR	20676092	CytReg	unexamined
AHR	20511231	CytReg	unexamined
AHR	23349129	CytReg	unexamined
AHR	26860885	CytReg	unexamined
AHR	27888289	CytReg	unexamined
AHR	18483242	CytReg	unexamined
AHR	19578368	CytReg	unexamined
AHR	21266776	CytReg	unexamined
AHR	25690886	CytReg	unexamined
AHR	20676095	CytReg	unexamined
AHR	19703987	CytReg	unexamined
STAT1	22022583	CytReg	discarded
STAT1	18292493	CytReg	discarded
STAT1	15006601	CytReg	discarded
STAT1	19124156	CytReg	unexamined
STAT1	12388243	CytReg	unexamined
STAT1	17182562	CytReg	unexamined
STAT1	19915063	CytReg	unexamined
STAT1	11821046	CytReg	unexamined
STAT1	17386941	CytReg	unexamined
STAT1	12759422	CytReg	unexamined
STAT1	20709027	CytReg	unexamined
STAT1	17167270	CytReg	unexamined
STAT1	25199798	CytReg	unexamined
STAT1	25040843	CytReg	unexamined
STAT1	23271704	CytReg	unexamined
STAT1	19556344	CytReg	unexamined
STAT1	17202361	CytReg	unexamined
STAT1	20833730	CytReg	unexamined
STAT1	28262979	CytReg	unexamined
STAT1	21398617	CytReg	unexamined
STAT1	15178704	CytReg	unexamined
STAT1	17374731	CytReg	unexamined
STAT1	24012417	CytReg	unexamined
STAT1	17617740	CytReg	unexamined
STAT1	19136629	CytReg	unexamined
STAT1	19164128	CytReg	unexamined
STAT1	19096445	CytReg	unexamined
STAT1	19479051	CytReg	unexamined
STAT1	16628196	CytReg	unexamined
STAT1	20523058	CytReg	unexamined
STAT1	12403783	CytReg	unexamined
STAT1	17255531	CytReg	unexamined
STAT1	9680354	CytReg	unexamined
STAT1	20585034	CytReg	unexamined
STAT1	12754213	CytReg	unexamined
STAT1	26170288	CytReg	unexamined
STAT1	27109100	CytReg	unexamined
STAT1	24408967	CytReg	unexamined
STAT1	19703987	CytReg	unexamined
FOXO1	25918228	CytReg	curated
FOXO1	19026986	CytReg	curated
FOXO1	23630076	CytReg	unexamined
FOXO1	22240809	CytReg	unexamined
LEF1	18579517	CytReg	curated
LEF1	11118053	CytReg	discarded
MAF	19414776	CytReg	curated
MAF	25037220	CytReg	discarded
MAF	20676092	CytReg	unexamined
MAF	19348920	CytReg	unexamined
MAF	11956291	CytReg	unexamined
MAF	18167455	CytReg	unexamined
MAF	9889198	CytReg	unexamined
MAF	20676095	CytReg	unexamined
MAF	28166218	CytReg	unexamined
RUNX1	21129147	CytReg	curated
RUNX1	17377532	CytReg	curated
RUNX1	12771199	CytReg	unexamined
RUNX1	8180380	CytReg	unexamined
RUNX1	9036972	CytReg	unexamined
RUNX1	15735013	CytReg	unexamined
RUNX1	22253733	CytReg	unexamined
RUNX1	20506188	CytReg	unexamined
RUNX1	23492767	CytReg	unexamined
RUNX1	12475968	CytReg	unexamined
RUNX1	20439113	CytReg	unexamined
RUNX1	17195845	CytReg	unexamined
RUNX1	21151104	CytReg	unexamined
CREB1	20685939	CytReg	curated
CREB1	8814256	CytReg	unexamined
CREB1	17202341	CytReg	unexamined
CREB1	10540320	CytReg	unexamined
CREB1	11413310	CytReg	unexamined
CREB1	11776974	CytReg	unexamined
CREB1	11907114	CytReg	unexamined
CREB1	7759501	CytReg	unexamined
CREB1	16443828	CytReg	unexamined
CREB1	10383163	CytReg	unexamined
CREB1	18641343	CytReg	unexamined
CREB1	17471497	CytReg	unexamined
CREB1	20889550	CytReg	unexamined
CREB1	15879136	CytReg	unexamined
CREB1	12388374	CytReg	unexamined
CREB1	12370343	CytReg	unexamined
CREB1	19564345	CytReg	unexamined
CREB1	12626549	CytReg	unexamined
CREB1	24038085	CytReg	unexamined
CREB1	20160059	CytReg	unexamined
CREB1	16914731	CytReg	unexamined
CREB1	15731115	CytReg	unexamined
CREB1	7513046	CytReg	unexamined
CREB1	28148567	CytReg	unexamined
CREB1	19880655	CytReg	unexamined
CREB1	26408955	CytReg	unexamined
CREB1	17053039	CytReg	unexamined
CREB1	18334541	CytReg	unexamined
CREB1	16713974	CytReg	unexamined
CREB1	23874122	CytReg	unexamined
E2F1	18381203	CytReg	curated
E2F1	17707233	CytReg	unexamined
E2F1	15290353	CytReg	unexamined
EGR1	11997234	CytReg	curated
EGR1	12560487	CytReg	unexamined
EGR1	8900159	CytReg	unexamined
EGR1	19915002	CytReg	unexamined
EGR1	8058069	CytReg	unexamined
EGR1	8035792	CytReg	unexamined
EGR1	17471497	CytReg	unexamined
EGR1	7918637	CytReg	unexamined
EGR1	10913190	CytReg	unexamined
EGR1	19837667	CytReg	unexamined
EGR1	24337575	CytReg	unexamined
EGR1	17142725	CytReg	unexamined
EGR1	19032775	CytReg	unexamined
EGR1	20690147	CytReg	unexamined
EGR1	20653771	CytReg	unexamined
EGR1	10656874	CytReg	unexamined
EGR1	8407965	CytReg	unexamined
EGR1	18651635	CytReg	unexamined
EGR1	11739517	CytReg	unexamined
EGR1	21841136	CytReg	unexamined
EGR1	8786306	CytReg	unexamined
EGR1	12509451	CytReg	unexamined
EGR1	16317093	CytReg	unexamined
GATA1	15494506	CytReg	curated
GATA1	22110660	CytReg	unexamined
GATA1	15739164	CytReg	unexamined
GATA1	16650898	CytReg	unexamined
GATA1	21454593	CytReg	unexamined
GATA1	15229217	CytReg	unexamined
GATA2	15494506	CytReg	curated
GATA2	7791790	CytReg	unexamined
GATA2	17283044	CytReg	unexamined
GATA2	15739164	CytReg	unexamined
GATA2	21454593	CytReg	unexamined
GATA2	15229217	CytReg	unexamined
JUN	15494506	CytReg	curated
JUN	9233628	CytReg	unexamined
JUN	7739550	CytReg	unexamined
JUN	8468462	CytReg	unexamined
JUN	10491186	CytReg	unexamined
JUN	20048166	CytReg	unexamined
JUN	11120852	CytReg	unexamined
JUN	8454603	CytReg	unexamined
JUN	11413310	CytReg	unexamined
JUN	10748079	CytReg	unexamined
JUN	10754326	CytReg	unexamined
JUN	9566900	CytReg	unexamined
JUN	7896795	CytReg	unexamined
JUN	14688340	CytReg	unexamined
JUN	15270850	CytReg	unexamined
JUN	8688489	CytReg	unexamined
JUN	9558063	CytReg	unexamined
JUN	8756632	CytReg	unexamined
JUN	7759501	CytReg	unexamined
JUN	10843986	CytReg	unexamined
JUN	17283046	CytReg	unexamined
JUN	22904313	CytReg	unexamined
JUN	10942517	CytReg	unexamined
JUN	16834785	CytReg	unexamined
JUN	9133600	CytReg	unexamined
JUN	15158360	CytReg	unexamined
JUN	8660843	CytReg	unexamined
JUN	23642711	CytReg	unexamined
JUN	18772138	CytReg	unexamined
JUN	12794825	CytReg	unexamined
JUN	8228815	CytReg	unexamined
JUN	23437118	CytReg	unexamined
JUN	15057743	CytReg	unexamined
JUN	12759366	CytReg	unexamined
JUN	10837498	CytReg	unexamined
JUN	10954918	CytReg	unexamined
JUN	24284797	CytReg	unexamined
JUN	10969814	CytReg	unexamined
JUN	12452838	CytReg	unexamined
JUN	10760799	CytReg	unexamined
JUN	10848607	CytReg	unexamined
JUN	14612204	CytReg	unexamined
JUN	11933077	CytReg	unexamined
JUN	7565732	CytReg	unexamined
JUN	8473495	CytReg	unexamined
JUN	9488674	CytReg	unexamined
JUN	9590239	CytReg	unexamined
JUN	9862439	CytReg	unexamined
JUN	9190901	CytReg	unexamined
JUN	10772943	CytReg	unexamined
JUN	16364464	CytReg	unexamined
JUN	12370343	CytReg	unexamined
JUN	20511231	CytReg	unexamined
JUN	18502099	CytReg	unexamined
JUN	10688670	CytReg	unexamined
JUN	10913190	CytReg	unexamined
JUN	23583295	CytReg	unexamined
JUN	27856305	CytReg	unexamined
JUN	20304822	CytReg	unexamined
JUN	18641343	CytReg	unexamined
JUN	16365456	CytReg	unexamined
JUN	24048734	CytReg	unexamined
JUN	19734226	CytReg	unexamined
JUN	25567680	CytReg	unexamined
JUN	24676671	CytReg	unexamined
JUN	20862675	CytReg	unexamined
JUN	17586662	CytReg	unexamined
JUN	16818736	CytReg	unexamined
JUN	25040843	CytReg	unexamined
JUN	26096887	CytReg	unexamined
JUN	26513016	CytReg	unexamined
JUN	21465475	CytReg	unexamined
JUN	22123848	CytReg	unexamined
JUN	16483936	CytReg	unexamined
JUN	16199883	CytReg	unexamined
JUN	18443042	CytReg	unexamined
JUN	21989417	CytReg	unexamined
JUN	15546613	CytReg	unexamined
JUN	15522880	CytReg	unexamined
JUN	18566416	CytReg	unexamined
JUN	10542237	CytReg	unexamined
JUN	10318823	CytReg	unexamined
JUN	14670967	CytReg	unexamined
JUN	18239058	CytReg	unexamined
JUN	22095787	CytReg	unexamined
JUN	17845581	CytReg	unexamined
JUN	17197543	CytReg	unexamined
JUN	17471497	CytReg	unexamined
JUN	11509589	CytReg	unexamined
JUN	12929935	CytReg	unexamined
JUN	7989759	CytReg	unexamined
JUN	1737937	CytReg	unexamined
JUN	14752027	CytReg	unexamined
JUN	19285436	CytReg	unexamined
JUN	11739517	CytReg	unexamined
JUN	9826775	CytReg	unexamined
JUN	11801649	CytReg	unexamined
JUN	21357535	CytReg	unexamined
JUN	15666090	CytReg	unexamined
JUN	19592489	CytReg	unexamined
JUN	19828633	CytReg	unexamined
JUN	7513046	CytReg	unexamined
JUN	10975835	CytReg	unexamined
JUN	16373364	CytReg	unexamined
JUN	9310836	CytReg	unexamined
JUN	11490006	CytReg	unexamined
JUN	22983707	CytReg	unexamined
JUN	20351184	CytReg	unexamined
JUN	12509451	CytReg	unexamined
JUN	21832163	CytReg	unexamined
JUN	17145782	CytReg	unexamined
JUN	28100679	CytReg	unexamined
JUN	19181930	CytReg	unexamined
JUN	20371366	CytReg	unexamined
JUN	21098092	CytReg	unexamined
JUN	19299558	CytReg	unexamined
JUN	24994901	CytReg	unexamined
JUN	21454593	CytReg	unexamined
JUN	12594266	CytReg	unexamined
JUN	9889198	CytReg	unexamined
JUN	21600798	CytReg	unexamined
JUN	15187132	CytReg	unexamined
JUN	12914794	CytReg	unexamined
JUN	14597166	CytReg	unexamined
JUN	25595785	CytReg	unexamined
JUN	16713974	CytReg	unexamined
MEF2A	21454555	CytReg	curated
NFATC3	17513763	CytReg	curated
NFATC3	7739550	CytReg	unexamined
NFATC3	21603612	CytReg	unexamined
NFATC3	21514407	CytReg	unexamined
NFATC3	8543769	CytReg	unexamined
NFATC3	7730629	CytReg	unexamined
NFATC3	17079331	CytReg	unexamined
NFE2L2	21454555	CytReg	curated
NFE2L2	21925595	CytReg	unexamined
NFE2L2	27211851	CytReg	unexamined
NFE2L2	27183581	CytReg	unexamined
NFE2L2	20103708	CytReg	unexamined
PAX6	19132093	CytReg	curated
PAX6	27771509	CytReg	unexamined
PBX1	18093541	CytReg	curated
YY1	26786659	CytReg	curated
YY1	11687571	CytReg	unexamined
YY1	8756632	CytReg	unexamined
YY1	22467534	CytReg	unexamined
YY1	7838721	CytReg	unexamined
YY1	18328809	CytReg	unexamined
YY1	10518827	CytReg	unexamined
YY1	12805085	CytReg	unexamined
YY1	22065573	CytReg	unexamined
YY1	26618242	CytReg	unexamined
YY1	21989417	CytReg	unexamined
YY1	16954376	CytReg	unexamined
YY1	18225953	CytReg	unexamined
YY1	19801677	CytReg	unexamined
AR	21350238	CytReg	unexamined
AR	18651839	CytReg	unexamined
AR	26939703	CytReg	unexamined
AR	19907077	CytReg	unexamined
ARNT	21104991	CytReg	unexamined
ARNT	20511231	CytReg	unexamined
ATF1	10540320	CytReg	unexamined
ATF1	11776974	CytReg	unexamined
ATF1	18641343	CytReg	unexamined
ATF1	11259437	CytReg	unexamined
ATF2	20048166	CytReg	unexamined
ATF2	11413310	CytReg	unexamined
ATF2	10748079	CytReg	unexamined
ATF2	1400310	CytReg	unexamined
ATF2	12836278	CytReg	unexamined
ATF2	22904313	CytReg	unexamined
ATF2	18641343	CytReg	unexamined
ATF2	10954918	CytReg	unexamined
ATF2	10848607	CytReg	unexamined
ATF2	11933077	CytReg	unexamined
ATF2	20889550	CytReg	unexamined
ATF2	21692767	CytReg	unexamined
ATF2	12388374	CytReg	unexamined
ATF2	20068037	CytReg	unexamined
ATF2	10688670	CytReg	unexamined
ATF2	10913190	CytReg	unexamined
ATF2	15546613	CytReg	unexamined
ATF2	10318823	CytReg	unexamined
ATF2	18443042	CytReg	unexamined
ATF2	15731115	CytReg	unexamined
ATF2	9826775	CytReg	unexamined
ATF2	11490006	CytReg	unexamined
ATF2	12509451	CytReg	unexamined
ATF2	18802055	CytReg	unexamined
ATF2	19592489	CytReg	unexamined
ATF3	10760799	CytReg	unexamined
ATF3	20304822	CytReg	unexamined
ATF3	28577574	CytReg	unexamined
ATF3	18942706	CytReg	unexamined
ATF3	16982098	CytReg	unexamined
ATF3	16688168	CytReg	unexamined
ATF3	24607962	CytReg	unexamined
ATF3	26416280	CytReg	unexamined
ATF3	20351107	CytReg	unexamined
ATF3	24317040	CytReg	unexamined
ATF3	24951825	CytReg	unexamined
ATF3	24994901	CytReg	unexamined
ATF3	17785797	CytReg	unexamined
ATF4	21692767	CytReg	unexamined
ATF4	25811130	CytReg	unexamined
ATF4	16931790	CytReg	unexamined
ATF4	23990363	CytReg	unexamined
ATF4	26174742	CytReg	unexamined
ATF7	26322480	CytReg	unexamined
BACH1	26123998	CytReg	unexamined
BACH1	19439223	CytReg	unexamined
BACH2	18769450	CytReg	unexamined
BATF	22983707	CytReg	unexamined
BATF	28166218	CytReg	unexamined
BCL11B	21875956	CytReg	unexamined
BCL6	11374866	CytReg	unexamined
BCL6	21801248	CytReg	unexamined
