DTRI_ID	Experiment_ID	TF_Symbol_Human	Target_Symbol_Human	Experiment_Type	Effect	Induced
tri_00906	exp_3053	PAX6	TGFB2	perturbation	het_knockout	FALSE
tri_09892	exp_3049	PAX6	OLFM3	perturbation	het_knockout	FALSE
tri_09894	exp_2934	PAX6	SOX2	perturbation	hom_knockout	FALSE
tri_11735	exp_3047	PAX6	MAB21L2	perturbation	het_knockout	FALSE
tri_11737	exp_3369	PAX6	OLIG2	perturbation	overexpression	not_applicable
tri_15682	exp_2402	PAX6	GCG	perturbation	hom_knockout	FALSE
tri_15682	exp_2403	PAX6	GCG	perturbation	hom_knockout	FALSE
tri_15685	exp_2291	PAX6	KRT12	perturbation	hom_knockout	FALSE
tri_15686	exp_1675	PAX6	MET	perturbation	knockdown	not_applicable
tri_15687	exp_3031	PAX6	PCSK1	perturbation	het_knockout	FALSE
tri_15689	exp_3784	PAX6	PROX1	perturbation	hom_knockout	FALSE
tri_15690	exp_2474	PAX6	SIX3	perturbation	het_knockout	FALSE
tri_20731	exp_2290	PAX6	ALDH3A1	perturbation	hom_knockout	FALSE
tri_20731	exp_2974	PAX6	ALDH3A1	perturbation	het_knockout	FALSE
tri_20732	exp_3065	PAX6	ATOH7	perturbation	hom_knockout	FALSE
tri_20733	exp_3713	PAX6	BCL9	perturbation	hom_knockout	FALSE
tri_20733	exp_3712	PAX6	BCL9	perturbation	knockdown	not_applicable
tri_20734	exp_3716	PAX6	BCL9L	perturbation	hom_knockout	FALSE
tri_20734	exp_3715	PAX6	BCL9L	perturbation	knockdown	not_applicable
tri_20735	exp_3610	PAX6	CDK6	perturbation	hom_knockout	FALSE
tri_20736	exp_2813	PAX6	CDKN1B	perturbation	hom_knockout	FALSE
tri_20736	exp_2814	PAX6	CDKN1B	perturbation	hom_knockout	FALSE
tri_20736	exp_2815	PAX6	CDKN1B	perturbation	hom_knockout	FALSE
tri_20737	exp_3281	PAX6	CRYAA2	perturbation	hom_knockout	FALSE
tri_20737	exp_3281	PAX6	CRYAA	perturbation	hom_knockout	FALSE
tri_20738	exp_3281	PAX6	CRYAA2	perturbation	hom_knockout	FALSE
tri_20738	exp_3281	PAX6	CRYAA	perturbation	hom_knockout	FALSE
tri_20740	exp_0444	PAX6	DKK3	perturbation	knockdown	not_applicable
tri_20740	exp_0445	PAX6	DKK3	perturbation	knockdown	not_applicable
tri_20740	exp_0446	PAX6	DKK3	perturbation	knockdown	not_applicable
tri_20740	exp_0447	PAX6	DKK3	perturbation	knockdown	not_applicable
tri_20740	exp_0448	PAX6	DKK3	perturbation	knockdown	not_applicable
tri_20740	exp_0449	PAX6	DKK3	perturbation	knockdown	not_applicable
tri_20740	exp_3487	PAX6	DKK3	perturbation	het_knockout	FALSE
tri_20740	exp_0443	PAX6	DKK3	perturbation	overexpression	not_applicable
tri_20741	exp_3485	PAX6	FGF19	perturbation	het_knockout	FALSE
tri_20744	exp_0743	PAX6	HOXD4	perturbation	hom_knockout	FALSE
tri_20745	exp_3401	PAX6	MAF	perturbation	hom_knockout	FALSE
tri_20745	exp_3402	PAX6	MAF	perturbation	hom_knockout	FALSE
tri_20746	exp_0926	PAX6	MAFA	perturbation	hom_knockout	FALSE
tri_20749	exp_0634	PAX6	NEUROG2	perturbation	hom_knockout	FALSE
tri_20749	exp_3780	PAX6	NEUROG2	perturbation	hom_knockout	FALSE
tri_20751	exp_3731	PAX6	ODF2	perturbation	hom_knockout	FALSE
tri_20752	exp_2422	PAX6	PAX2	perturbation	hom_knockout	FALSE
tri_20755	exp_3396	PAX6	RLBP1	perturbation	hom_knockout	FALSE
tri_20759	exp_1059	PAX6	SOST	perturbation	knockdown	not_applicable
tri_23104	exp_2294	PAX6	ANGPTL7	perturbation	hom_knockout	FALSE
tri_23105	exp_2820	PAX6	CDKN1A	perturbation	hom_knockout	FALSE
tri_23105	exp_2821	PAX6	CDKN1A	perturbation	hom_knockout	FALSE
tri_23105	exp_2822	PAX6	CDKN1A	perturbation	hom_knockout	FALSE
tri_23106	exp_2817	PAX6	CDKN1C	perturbation	hom_knockout	FALSE
tri_23106	exp_2818	PAX6	CDKN1C	perturbation	hom_knockout	FALSE
tri_23106	exp_2819	PAX6	CDKN1C	perturbation	hom_knockout	FALSE
tri_23107	exp_2816	PAX6	CDKN2A	perturbation	hom_knockout	FALSE
tri_23108	exp_2823	PAX6	CDKN2D	perturbation	hom_knockout	FALSE
tri_23109	exp_3051	PAX6	SPAG5	perturbation	het_knockout	FALSE
tri_23110	exp_2341	PAX6	FMNL2	perturbation	overexpression	TRUE
tri_23111	exp_2293	PAX6	CLU	perturbation	hom_knockout	FALSE
tri_23112	exp_3045	PAX6	VCAN	perturbation	het_knockout	FALSE
tri_23113	exp_3790	PAX6	GSX2	perturbation	hom_knockout	FALSE
tri_23114	exp_3786	PAX6	EMX2	perturbation	hom_knockout	FALSE
tri_23115	exp_3778	PAX6	EPHB1	perturbation	hom_knockout	FALSE
tri_23116	exp_3488	PAX6	TFEC	perturbation	overexpression	TRUE
tri_23116	exp_3483	PAX6	TFEC	perturbation	het_knockout	FALSE
tri_23117	exp_2299	PAX6	FLG	perturbation	hom_knockout	FALSE
tri_23120	exp_2297	PAX6	IVL	perturbation	hom_knockout	FALSE
tri_23121	exp_2298	PAX6	KRT1	perturbation	hom_knockout	FALSE
tri_23122	exp_2292	PAX6	KRT3	perturbation	hom_knockout	FALSE
tri_23123	exp_2296	PAX6	KRT10	perturbation	hom_knockout	FALSE
tri_23124	exp_3776	PAX6	ASCL1	perturbation	hom_knockout	FALSE
tri_23125	exp_3788	PAX6	FEZF2	perturbation	hom_knockout	FALSE
tri_23126	exp_3782	PAX6	DMRTA1	perturbation	hom_knockout	FALSE
tri_23127	exp_1138	PAX6	SLC1A2	perturbation	overexpression	TRUE
tri_23128	exp_3971	PAX6	TCF7L2	perturbation	hom_knockout	FALSE
tri_23129	exp_2295	PAX6	TKT	perturbation	hom_knockout	FALSE
tri_01621	exp_3480	SOX2	NANOG	perturbation	overexpression	not_applicable
tri_10167	exp_0052	SOX2	POU5F1	perturbation	knockdown	not_applicable
tri_11445	exp_1535	SOX2	CCND1	perturbation	overexpression	not_applicable
tri_11445	exp_1117	SOX2	CCND1	perturbation	knockdown	TRUE
