DTRI_ID	Experiment_ID	TF_Symbol_Human	Target_Symbol_Human	Experiment_Type	Method	TF_Source_Type
tri_00906	exp_3052	PAX6	TGFB2	binding	chip	not_applicable
tri_09892	exp_2714	PAX6	OLFM3	binding	chip	not_applicable
tri_09892	exp_3048	PAX6	OLFM3	binding	chip	not_applicable
tri_09892	exp_2715	PAX6	OLFM3	binding	emsa	unknown
tri_09893	exp_3773	PAX6	PAX6	binding	chip	not_applicable
tri_09893	exp_3774	PAX6	PAX6	binding	chip	not_applicable
tri_09894	exp_2932	PAX6	SOX2	binding	chip	not_applicable
tri_11734	exp_0617	PAX6	PDX1	binding	chip	not_applicable
tri_11734	exp_0619	PAX6	PDX1	binding	emsa	cell_line
tri_11734	exp_0618	PAX6	PDX1	binding	emsa	cell_line
tri_11735	exp_3046	PAX6	MAB21L2	binding	chip	not_applicable
tri_11736	exp_0140	PAX6	GIP	binding	emsa	cell_line
tri_11737	exp_3367	PAX6	OLIG2	binding	chip	not_applicable
tri_15686	exp_1671	PAX6	MET	binding	chip	not_applicable
tri_15686	exp_1672	PAX6	MET	binding	emsa	cell_line
tri_15687	exp_3029	PAX6	PCSK1	binding	chip	not_applicable
tri_15689	exp_3783	PAX6	PROX1	binding	chip	not_applicable
tri_15690	exp_2472	PAX6	SIX3	binding	emsa	unknown
tri_20731	exp_2976	PAX6	ALDH3A1	binding	chip	not_applicable
tri_20731	exp_2973	PAX6	ALDH3A1	binding	emsa	cell_line
tri_20732	exp_1615	PAX6	ATOH7	binding	chip	not_applicable
tri_20732	exp_1617	PAX6	ATOH7	binding	emsa	unknown
tri_20733	exp_3711	PAX6	BCL9	binding	chip	not_applicable
tri_20734	exp_3714	PAX6	BCL9L	binding	chip	not_applicable
tri_20735	exp_3607	PAX6	CDK6	binding	chip	not_applicable
tri_20735	exp_3608	PAX6	CDK6	binding	emsa	unknown
tri_20736	exp_2811	PAX6	CDKN1B	binding	chip	not_applicable
tri_20736	exp_2812	PAX6	CDKN1B	binding	chip	not_applicable
tri_20737	exp_2742	PAX6	CRYAA2	binding	chip	not_applicable
tri_20737	exp_3278	PAX6	CRYAA2	binding	chip	not_applicable
tri_20737	exp_2742	PAX6	CRYAA	binding	chip	not_applicable
tri_20737	exp_3278	PAX6	CRYAA	binding	chip	not_applicable
tri_20738	exp_2742	PAX6	CRYAA2	binding	chip	not_applicable
tri_20738	exp_3278	PAX6	CRYAA2	binding	chip	not_applicable
tri_20738	exp_2742	PAX6	CRYAA	binding	chip	not_applicable
tri_20738	exp_3278	PAX6	CRYAA	binding	chip	not_applicable
tri_20739	exp_3944	PAX6	CRYAB	binding	emsa	cell_line
tri_20740	exp_3486	PAX6	DKK3	binding	chip	not_applicable
tri_20740	exp_1098	PAX6	DKK3	binding	emsa	cell_line
tri_20741	exp_3484	PAX6	FGF19	binding	chip	not_applicable
tri_20742	exp_2618	PAX6	G6PC2	binding	chip	not_applicable
tri_20742	exp_2619	PAX6	G6PC2	binding	emsa	cell_line
tri_20743	exp_2497	PAX6	GCK	binding	chip	not_applicable
tri_20744	exp_0740	PAX6	HOXD4	binding	chip	not_applicable
tri_20744	exp_0741	PAX6	HOXD4	binding	chip	not_applicable
tri_20744	exp_0742	PAX6	HOXD4	binding	emsa	cell_line
tri_20745	exp_3399	PAX6	MAF	binding	chip	not_applicable
tri_20746	exp_0924	PAX6	MAFA	binding	chip	not_applicable
tri_20746	exp_0925	PAX6	MAFA	binding	emsa	cell_line
tri_20747	exp_2415	PAX6	MMP9	binding	emsa	primary_tissue
tri_20749	exp_3779	PAX6	NEUROG2	binding	chip	not_applicable
tri_20749	exp_0632	PAX6	NEUROG2	binding	emsa	unknown
tri_20751	exp_3728	PAX6	ODF2	binding	chip	not_applicable
tri_20751	exp_3729	PAX6	ODF2	binding	emsa	unknown
tri_20752	exp_2420	PAX6	PAX2	binding	emsa	unknown
tri_20755	exp_3394	PAX6	RLBP1	binding	chip	not_applicable
tri_20759	exp_1057	PAX6	SOST	binding	chip	not_applicable
tri_23109	exp_3050	PAX6	SPAG5	binding	chip	not_applicable
tri_23112	exp_3044	PAX6	VCAN	binding	chip	not_applicable
tri_23113	exp_3789	PAX6	GSX2	binding	chip	not_applicable
tri_23114	exp_3785	PAX6	EMX2	binding	chip	not_applicable
tri_23115	exp_3777	PAX6	EPHB1	binding	chip	not_applicable
