Experiment_ID	Experiment_Type	Effect	Induced
exp_0014	perturbation	overexpression	not_applicable
exp_0015	perturbation	knockdown	not_applicable
exp_0016	perturbation	knockdown	not_applicable
exp_0017	perturbation	overexpression	not_applicable
exp_0021	perturbation	knockdown	not_applicable
exp_0022	perturbation	knockdown	not_applicable
exp_0029	perturbation	overexpression	not_applicable
exp_0030	perturbation	overexpression	not_applicable
exp_0033	perturbation	overexpression	TRUE
exp_0034	perturbation	knockdown	not_applicable
exp_0052	perturbation	knockdown	not_applicable
exp_0055	perturbation	knockdown	not_applicable
exp_0068	perturbation	overexpression	not_applicable
exp_0069	perturbation	overexpression	not_applicable
exp_0070	perturbation	knockdown	not_applicable
exp_0071	perturbation	knockdown	not_applicable
exp_0074	perturbation	overexpression	not_applicable
exp_0075	perturbation	overexpression	not_applicable
exp_0078	perturbation	knockdown	not_applicable
exp_0081	perturbation	overexpression	not_applicable
exp_0088	perturbation	knockdown	not_applicable
exp_0089	perturbation	knockdown	not_applicable
exp_0090	perturbation	overexpression	TRUE
exp_0095	perturbation	overexpression	not_applicable
exp_0099	perturbation	overexpression	TRUE
exp_0107	perturbation	knockdown	not_applicable
exp_0113	perturbation	overexpression	not_applicable
exp_0123	perturbation	overexpression	not_applicable
exp_0127	perturbation	overexpression	not_applicable
exp_0128	perturbation	knockdown	not_applicable
exp_0132	perturbation	hom_knockout	FALSE
exp_0133	perturbation	knockdown	TRUE
exp_0136	perturbation	knockdown	TRUE
exp_0137	perturbation	knockdown	TRUE
exp_0138	perturbation	knockdown	TRUE
exp_0147	perturbation	overexpression	not_applicable
exp_0148	perturbation	knockdown	not_applicable
exp_0152	perturbation	knockdown	not_applicable
exp_0157	perturbation	knockout	FALSE
exp_0158	perturbation	het_knockout	not_applicable
exp_0160	perturbation	knockdown	not_applicable
exp_0161	perturbation	knockdown	not_applicable
exp_0167	perturbation	overexpression	not_applicable
exp_0168	perturbation	overexpression	not_applicable
exp_0172	perturbation	knockdown	not_applicable
exp_0176	perturbation	overexpression	not_applicable
exp_0177	perturbation	overexpression	not_applicable
exp_0178	perturbation	knockdown	not_applicable
exp_0179	perturbation	knockdown	not_applicable
exp_0180	perturbation	overexpression	not_applicable
exp_0181	perturbation	overexpression	not_applicable
exp_0186	perturbation	knockdown	not_applicable
