Experiment_ID	Experiment_Type	Mutated	Binding_Verified
exp_0012	reporter	TRUE	putative
exp_0013	reporter	TRUE	putative
exp_0020	reporter	FALSE	not_applicable
exp_0025	reporter	TRUE	putative
exp_0026	reporter	FALSE	not_applicable
exp_0027	reporter	FALSE	not_applicable
exp_0028	reporter	FALSE	not_applicable
exp_0041	reporter	TRUE	putative
exp_0046	reporter	FALSE	not_applicable
exp_0047	reporter	FALSE	not_applicable
exp_0050	reporter	FALSE	not_applicable
exp_0051	reporter	FALSE	not_applicable
exp_0053	reporter	FALSE	not_applicable
exp_0054	reporter	FALSE	not_applicable
exp_0063	reporter	TRUE	putative
exp_0064	reporter	TRUE	putative
exp_0067	reporter	TRUE	putative
exp_0079	reporter	TRUE	putative
exp_0080	reporter	TRUE	putative
exp_0082	reporter	FALSE	not_applicable
exp_0087	reporter	TRUE	putative
exp_0094	reporter	TRUE	putative
exp_0098	reporter	TRUE	putative
exp_0112	reporter	TRUE	emsa
exp_0116	reporter	TRUE	emsa
exp_0119	reporter	TRUE	emsa
exp_0122	reporter	FALSE	not_applicable
exp_0126	reporter	TRUE	emsa
exp_0134	reporter	TRUE	emsa
exp_0135	reporter	TRUE	emsa
exp_0141	reporter	TRUE	putative
exp_0142	reporter	FALSE	not_applicable
exp_0146	reporter	FALSE	not_applicable
exp_0151	reporter	TRUE	putative
exp_0156	reporter	FALSE	not_applicable
exp_0159	reporter	FALSE	not_applicable
exp_0162	reporter	FALSE	not_applicable
exp_0165	reporter	FALSE	not_applicable
exp_0166	reporter	FALSE	not_applicable
exp_0175	reporter	FALSE	not_applicable
exp_0184	reporter	FALSE	not_applicable
exp_0191	reporter	TRUE	emsa
exp_0195	reporter	FALSE	not_applicable
exp_0199	reporter	TRUE	emsa
exp_0203	reporter	TRUE	emsa
exp_0207	reporter	TRUE	putative
exp_0217	reporter	TRUE	emsa
exp_0222	reporter	TRUE	emsa
exp_0226	reporter	TRUE	putative
