TF_Symbol	TF_Entrez_ID	Species	Lambert	SFARI_Score	SFARI_Syndomic	GO_Neurodev	Neurodev_TF	N_Candidate_Paper	N_Paper_Total
STAT3	6774	human	TRUE	0	0	TRUE	TRUE	643	NA
TP53	7157	human	TRUE	0	0	TRUE	TRUE	595	NA
AR	367	human	TRUE	3	0	FALSE	TRUE	586	NA
MYC	4609	human	TRUE	0	0	TRUE	TRUE	556	NA
TNF	7124	human	FALSE	0	0	TRUE	TRUE	511	NA
E2F1	1869	human	TRUE	0	0	TRUE	TRUE	422	3976
HIF1A	3091	human	TRUE	0	0	TRUE	TRUE	345	9675
CREB1	1385	human	TRUE	0	0	TRUE	TRUE	268	2286
HDAC1	3065	human	FALSE	0	0	TRUE	TRUE	264	3518
CTNNB1	1499	human	FALSE	1	0	TRUE	TRUE	245	8736
ETS1	2113	human	TRUE	0	0	TRUE	TRUE	219	1527
EP300	2033	human	FALSE	1	0	FALSE	TRUE	216	1475
CTCF	10664	human	TRUE	1	0	FALSE	TRUE	215	2069
SOX2	6657	human	TRUE	0	0	TRUE	TRUE	167	7972
EZH2	2146	human	FALSE	0	0	TRUE	TRUE	164	4324
RUNX1	861	human	FALSE	0	0	TRUE	TRUE	156	3992
FOXA2	3170	human	TRUE	0	0	TRUE	TRUE	150	1293
VDR	7421	human	TRUE	3	0	FALSE	TRUE	149	7348
SMAD4	4089	human	TRUE	2	0	FALSE	TRUE	143	4609
CREBBP	1387	human	FALSE	1	0	FALSE	TRUE	124	1848
SOX9	6662	human	TRUE	0	0	TRUE	TRUE	120	5091
RBPJ	3516	human	TRUE	0	0	TRUE	TRUE	112	716
NOTCH1	4851	human	FALSE	0	0	TRUE	TRUE	110	6790
TFAP2A	7020	human	TRUE	0	0	TRUE	TRUE	109	374
SRF	6722	human	TRUE	0	0	TRUE	TRUE	104	3808
FOXO3	2309	human	TRUE	0	0	TRUE	TRUE	102	2685
LEF1	51176	human	TRUE	0	0	TRUE	TRUE	98	1392
RARA	5914	human	TRUE	0	0	TRUE	TRUE	98	2519
TCF4	6925	human	TRUE	1	0	FALSE	TRUE	97	1510
PAX6	5080	human	TRUE	0	0	TRUE	TRUE	94	3306
HDAC2	3066	human	FALSE	0	0	TRUE	TRUE	91	1815
GATA2	2624	human	TRUE	0	0	TRUE	TRUE	90	1467
SMAD1	4086	human	TRUE	0	0	TRUE	TRUE	81	2638
EGFR	1956	human	FALSE	0	0	TRUE	TRUE	79	NA
SMARCA4	6597	human	FALSE	2	0	TRUE	TRUE	78	1211
PAX5	5079	human	TRUE	2	0	TRUE	TRUE	72	1531
TLR4	7099	human	FALSE	0	0	TRUE	TRUE	72	NA
MECP2	4204	human	TRUE	1	0	TRUE	TRUE	69	3055
GLI1	2735	human	TRUE	0	0	TRUE	TRUE	65	2781
PPARGC1A	10891	human	FALSE	0	0	TRUE	TRUE	64	3459
TCF7L2	6934	human	TRUE	2	0	TRUE	TRUE	64	1628
TAL1	6886	human	TRUE	0	0	TRUE	TRUE	63	976
ERG	2078	human	TRUE	3	0	FALSE	TRUE	62	NA
MEF2C	4208	human	TRUE	3	1	FALSE	TRUE	62	1208
PTGS2	5743	human	FALSE	3	0	FALSE	TRUE	62	NA
SOX10	6663	human	TRUE	0	0	TRUE	TRUE	62	1555
NR2F2	7026	human	FALSE	0	0	TRUE	TRUE	61	348
HES1	3280	human	TRUE	0	0	TRUE	TRUE	59	2270
GLI2	2736	human	TRUE	0	0	TRUE	TRUE	58	1167
PAX3	5077	human	TRUE	0	0	TRUE	TRUE	57	1792
ZEB1	6935	human	TRUE	0	0	TRUE	TRUE	54	2500
NKX2-1	7080	human	TRUE	0	0	TRUE	TRUE	51	1470
SHH	6469	human	FALSE	0	0	TRUE	TRUE	50	7064
ATM	472	human	FALSE	0	0	TRUE	TRUE	49	NA
DNMT3A	1788	human	FALSE	1	0	FALSE	TRUE	48	2858
PBX1	5087	human	TRUE	3	0	FALSE	TRUE	48	850
PDX1	3651	human	TRUE	0	0	TRUE	TRUE	44	1634
POU1F1	5449	human	TRUE	0	0	TRUE	TRUE	43	612
