DTRI_ID	TF_Symbol_Human	Target_Symbol_Human	TF_Entrez_ID_Human	Target_Entrez_ID_Human	Databases
tri_0077	ACTRT1	GLI1	139741	2735	Current
tri_0175	AGT	EPO	183	2056	Current
tri_0259	AHR	CBR1	196	873	Current
tri_0245	AHR	EREG	196	2069	Current
tri_0247	AHR	FLG	196	2312	Current
tri_0243	AHR	Mt1	196	17748	Current
tri_0244	AHR	Mt2	196	17750	Current
tri_0256	AHR	NCF1	196	653361	Current
tri_0252	AHR	NFE2L2	196	4780	Current
tri_0258	AHR	SLC7A5	196	8140	Current
tri_0246	AHR	Sult1a1	196	20887	Current
tri_0569	APOE	HMGXB4	348	10042	Current
tri_0581	AR	Lcn5	367	13863	Current
tri_0606	ARNT	PRDX2	405	7001	Current
tri_0607	ARNTL	EGR1	406	1958	Current
tri_0608	ARNTL	NOCT	406	25819	Current
tri_1027	ARNTL2	BHLHE40	56938	8553	Current
tri_0704	ASCL1	AXIN2	429	8313	Current
tri_0701	ASCL1	BCL2	429	596	Current
tri_0703	ASCL1	BTG2	429	7832	Current
tri_0700	ASCL1	CENPJ	429	55835	Current
tri_0688	ASCL1	DLL1	429	28514	Current
tri_0683	ASCL1	DLX5	429	1749	Current
tri_0686	ASCL1	GAD1	429	2571	Current
tri_0687	ASCL1	GNRHR	429	2798	Current
tri_0689	ASCL1	HES1	429	3280	Current
tri_0699	ASCL1	HES6	429	55502	Current
tri_0690	ASCL1	INSM1	429	3642	Current
tri_0691	ASCL1	JAG2	429	3714	Current
tri_0695	ASCL1	MGMT	429	4255	Current
tri_0696	ASCL1	MMP7	429	4316	Current
tri_0702	ASCL1	RET	429	5979	Current
tri_0757	ATF4	SNCG	468	6623	Current
tri_0032	BATF	IL4	10538	3565	Current
tri_0033	BATF	IRF4	10538	3662	Current
tri_0973	BCL11A	HBB	53335	3043	Current
tri_0974	BCL11A	HBE1	53335	3046	Current
tri_0975	BCL11A	HBG1	53335	3047	Current
tri_0976	BCL11A	HBG2	53335	3048	Current
tri_0977	BCL11A	ID3	53335	3399	Current
tri_0978	BCL11A	TCF4	53335	6925	Current
tri_1086	BCL11B	EGFR	64919	1956	Current
tri_1087	BCL11B	KRT8	64919	3856	Current
tri_1090	BCL11B	SNAI1	64919	6615	Current
tri_1089	BCL11B	SNAI2	64919	6591	Current
tri_1091	BCL11B	TGFA	64919	7039	Current
tri_1092	BCL11B	TGFB1	64919	7040	Current
tri_1093	BCL11B	TGFB2	64919	7042	Current
tri_1096	BMP2	LEF1	650	51176	Current
tri_1097	BMP2	RUNX2	650	860	Current
tri_1099	BMP7	NEUROG2	655	63973	Current
tri_0356	CBX5	MEF2C	23468	4208	Current
tri_0001	CDH5	CLDN5	1003	7122	Current
tri_0023	CDX2	TAL1	1045	6886	Current
tri_0028	CEBPA	COPS5	1050	10987	Current
tri_0030	CEBPB	COPS5	1051	10987	Current
tri_0037	CHD4	BCL11A	1108	53335	Current
tri_1488	CLOCK	ATF4	9575	468	Current
tri_1487	CLOCK	NOCT	9575	25819	Current
tri_0060	CREB1	ASCL1	1385	429	Current
tri_0058	CREB1	CCN1	1385	3491	Current
tri_0073	CREB1	CCNC	1385	892	Current
tri_0050	CREB1	FOSB	1385	2354	Current
tri_0051	CREB1	HBG2	1385	3048	Current
tri_0041	CREB1	PNPLA6	1385	10908	Current
tri_0068	CREB1	RFC3	1385	5983	Current
tri_0071	CREB1	THBS1	1385	7057	Current
tri_0056	CREB1	TMEM173	1385	340061	Current
tri_0072	CREB1	TP53	1385	7157	Current
tri_0048	CREB1	USP22	1385	23326	Current
tri_0076	CREBBP	LHB	1387	3972	Current
tri_0078	CSF1R	RUNX1	1436	861	Current
tri_0086	CTNNB1	AKT2	1499	208	Current
tri_0092	CTNNB1	ASCL1	1499	429	Current
tri_0087	CTNNB1	BACE1	1499	23621	Current
tri_0107	CTNNB1	BCL2L2	1499	599	Current
tri_0083	CTNNB1	CCN2	1499	1490	Current
