ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
DOID_8717	DOID_8549	http://purl.obolibrary.org/obo/DOID_8717	http://purl.obolibrary.org/obo/DOID_8549	is_a	DO
DOID_8712	DOID_0050736	http://purl.obolibrary.org/obo/DOID_8712	http://purl.obolibrary.org/obo/DOID_0050736	is_a	DO
DOID_11990	DOID_2123	http://purl.obolibrary.org/obo/DOID_11990	http://purl.obolibrary.org/obo/DOID_2123	is_a	DO
DOID_0050012	DOID_934	http://purl.obolibrary.org/obo/DOID_0050012	http://purl.obolibrary.org/obo/DOID_934	is_a	DO
DOID_11996	DOID_2519	http://purl.obolibrary.org/obo/DOID_11996	http://purl.obolibrary.org/obo/DOID_2519	is_a	DO
DOID_11997	DOID_48	http://purl.obolibrary.org/obo/DOID_11997	http://purl.obolibrary.org/obo/DOID_48	is_a	DO
DOID_0050013	DOID_0060158	http://purl.obolibrary.org/obo/DOID_0050013	http://purl.obolibrary.org/obo/DOID_0060158	is_a	DO
DOID_10660	DOID_4691	http://purl.obolibrary.org/obo/DOID_10660	http://purl.obolibrary.org/obo/DOID_4691	is_a	DO
DOID_11991	DOID_4254	http://purl.obolibrary.org/obo/DOID_11991	http://purl.obolibrary.org/obo/DOID_4254	is_a	DO
DOID_10661	DOID_4691	http://purl.obolibrary.org/obo/DOID_10661	http://purl.obolibrary.org/obo/DOID_4691	is_a	DO
DOID_8719	DOID_0060071	http://purl.obolibrary.org/obo/DOID_8719	http://purl.obolibrary.org/obo/DOID_0060071	is_a	DO
DOID_11994	DOID_2519	http://purl.obolibrary.org/obo/DOID_11994	http://purl.obolibrary.org/obo/DOID_2519	is_a	DO
DOID_8704	DOID_8566	http://purl.obolibrary.org/obo/DOID_8704	http://purl.obolibrary.org/obo/DOID_8566	is_a	DO
DOID_0050004	DOID_10400	http://purl.obolibrary.org/obo/DOID_0050004	http://purl.obolibrary.org/obo/DOID_10400	is_a	DO
DOID_8702	DOID_8618	http://purl.obolibrary.org/obo/DOID_8702	http://purl.obolibrary.org/obo/DOID_8618	is_a	DO
DOID_7408	DOID_2101	http://purl.obolibrary.org/obo/DOID_7408	http://purl.obolibrary.org/obo/DOID_2101	is_a	DO
DOID_7409	DOID_2101	http://purl.obolibrary.org/obo/DOID_7409	http://purl.obolibrary.org/obo/DOID_2101	is_a	DO
DOID_8738	DOID_1529	http://purl.obolibrary.org/obo/DOID_8738	http://purl.obolibrary.org/obo/DOID_1529	is_a	DO
DOID_10646	DOID_1510	http://purl.obolibrary.org/obo/DOID_10646	http://purl.obolibrary.org/obo/DOID_1510	is_a	DO
DOID_8736	DOID_934	http://purl.obolibrary.org/obo/DOID_8736	http://purl.obolibrary.org/obo/DOID_934	is_a	DO
