Node	Node_Long	Definition	OntologyScope
DOID_8717	http://purl.obolibrary.org/obo/DOID_8717	decubitus ulcer	DO
DOID_8712	http://purl.obolibrary.org/obo/DOID_8712	neurofibromatosis	DO
DOID_11990	http://purl.obolibrary.org/obo/DOID_11990	ulceroglandular tularemia	DO
DOID_0050012	http://purl.obolibrary.org/obo/DOID_0050012	chikungunya	DO
DOID_11996	http://purl.obolibrary.org/obo/DOID_11996	spermatic cord torsion	DO
DOID_11997	http://purl.obolibrary.org/obo/DOID_11997	spermatocele	DO
DOID_0050013	http://purl.obolibrary.org/obo/DOID_0050013	carbohydrate metabolism disease	DO
DOID_11991	http://purl.obolibrary.org/obo/DOID_11991	osteopoikilosis	DO
DOID_10660	http://purl.obolibrary.org/obo/DOID_10660	mediastinum neuroblastoma	DO
DOID_10661	http://purl.obolibrary.org/obo/DOID_10661	mediastinum ganglioneuroblastoma	DO
DOID_8719	http://purl.obolibrary.org/obo/DOID_8719	in situ carcinoma	DO
DOID_11994	http://purl.obolibrary.org/obo/DOID_11994	atrophy of testis	DO
DOID_8704	http://purl.obolibrary.org/obo/DOID_8704	genital herpes	DO
DOID_0050004	http://purl.obolibrary.org/obo/DOID_0050004	seminal vesicle acute gonorrhea	DO
DOID_8702	http://purl.obolibrary.org/obo/DOID_8702	cheek mucosa cancer	DO
DOID_7408	http://purl.obolibrary.org/obo/DOID_7408	vulvar keratoacanthoma-like carcinoma	DO
DOID_7409	http://purl.obolibrary.org/obo/DOID_7409	vulvar non-keratinizing squamous cell carcinoma	DO
DOID_8738	http://purl.obolibrary.org/obo/DOID_8738	leukoplakia of penis	DO
DOID_10646	http://purl.obolibrary.org/obo/DOID_10646	schizotypal personality disorder	DO
DOID_8736	http://purl.obolibrary.org/obo/DOID_8736	smallpox	DO
DOID_7402	http://purl.obolibrary.org/obo/DOID_7402	L-cell glucagon-like peptide producing tumor	DO
DOID_10648	http://purl.obolibrary.org/obo/DOID_10648	acute inferoposterior infarction	DO
DOID_10649	http://purl.obolibrary.org/obo/DOID_10649	acute inferolateral myocardial infarction	DO
DOID_7400	http://purl.obolibrary.org/obo/DOID_7400	Nijmegen breakage syndrome	DO
DOID_7401	http://purl.obolibrary.org/obo/DOID_7401	colonic L-cell glucagon-like peptide producing tumor	DO
DOID_8731	http://purl.obolibrary.org/obo/DOID_8731	carotid body cancer	DO
DOID_11975	http://purl.obolibrary.org/obo/DOID_11975	coloboma of optic nerve	DO
DOID_11976	http://purl.obolibrary.org/obo/DOID_11976	botulism	DO
DOID_11971	http://purl.obolibrary.org/obo/DOID_11971	synostosis	DO
DOID_8729	http://purl.obolibrary.org/obo/DOID_8729	milker's nodule	DO
DOID_10657	http://purl.obolibrary.org/obo/DOID_10657	colonic lymphangioma	DO
DOID_8725	http://purl.obolibrary.org/obo/DOID_8725	vascular dementia	DO
DOID_11988	http://purl.obolibrary.org/obo/DOID_11988	conjunctival concretion	DO
DOID_11984	http://purl.obolibrary.org/obo/DOID_11984	hypertrophic cardiomyopathy	DO
DOID_10655	http://purl.obolibrary.org/obo/DOID_10655	lipoma of colon	DO
DOID_10656	http://purl.obolibrary.org/obo/DOID_10656	colon leiomyoma	DO
DOID_11981	http://purl.obolibrary.org/obo/DOID_11981	morbid obesity	DO
DOID_10651	http://purl.obolibrary.org/obo/DOID_10651	acute anterolateral myocardial infarction	DO
DOID_10652	http://purl.obolibrary.org/obo/DOID_10652	Alzheimer's disease	DO
DOID_11983	http://purl.obolibrary.org/obo/DOID_11983	Prader-Willi syndrome	DO
DOID_0110209	http://purl.obolibrary.org/obo/DOID_0110209	Charcot-Marie-Tooth disease X-linked dominant 1	DO
DOID_10629	http://purl.obolibrary.org/obo/DOID_10629	microphthalmia	DO
DOID_0110207	http://purl.obolibrary.org/obo/DOID_0110207	Charcot-Marie-Tooth disease X-linked dominant 6	DO
DOID_0111538	http://purl.obolibrary.org/obo/DOID_0111538	paramyotonia congenita of Von Eulenburg	DO
DOID_0110208	http://purl.obolibrary.org/obo/DOID_0110208	Charcot-Marie-Tooth disease X-linked recessive 2	DO
DOID_0111539	http://purl.obolibrary.org/obo/DOID_0111539	parastremmatic dwarfism	DO
DOID_1287	http://purl.obolibrary.org/obo/DOID_1287	cardiovascular system disease	DO
DOID_1289	http://purl.obolibrary.org/obo/DOID_1289	neurodegenerative disease	DO
DOID_10627	http://purl.obolibrary.org/obo/DOID_10627	primary optic atrophy	DO
DOID_1283	http://purl.obolibrary.org/obo/DOID_1283	enterocele	DO
DOID_1284	http://purl.obolibrary.org/obo/DOID_1284	prolapse of female genital organ	DO
DOID_1285	http://purl.obolibrary.org/obo/DOID_1285	rectal disease	DO
DOID_0110201	http://purl.obolibrary.org/obo/DOID_0110201	Charcot-Marie-Tooth disease recessive intermediate A	DO
DOID_0111532	http://purl.obolibrary.org/obo/DOID_0111532	osteoglophonic dysplasia	DO
DOID_0110202	http://purl.obolibrary.org/obo/DOID_0110202	Charcot-Marie-Tooth disease dominant intermediate A	DO
DOID_0111533	http://purl.obolibrary.org/obo/DOID_0111533	gnathodiaphyseal dysplasia	DO
DOID_0111530	http://purl.obolibrary.org/obo/DOID_0111530	linear nevus sebaceous syndrome	DO
DOID_0110200	http://purl.obolibrary.org/obo/DOID_0110200	Charcot-Marie-Tooth disease dominant intermediate D	DO
DOID_0111531	http://purl.obolibrary.org/obo/DOID_0111531	bilateral optic nerve hypoplasia	DO
DOID_0110205	http://purl.obolibrary.org/obo/DOID_0110205	Charcot-Marie-Tooth disease dominant intermediate E	DO
DOID_0111536	http://purl.obolibrary.org/obo/DOID_0111536	Buschke-Ollendorff syndrome	DO
DOID_0110206	http://purl.obolibrary.org/obo/DOID_0110206	Charcot-Marie-Tooth disease dominant intermediate F	DO
DOID_0111537	http://purl.obolibrary.org/obo/DOID_0111537	paroxysmal extreme pain disorder	DO
DOID_0111534	http://purl.obolibrary.org/obo/DOID_0111534	multicentric carpotarsal osteolysis syndrome	DO
DOID_0110203	http://purl.obolibrary.org/obo/DOID_0110203	Charcot-Marie-Tooth disease recessive intermediate D	DO
DOID_0111535	http://purl.obolibrary.org/obo/DOID_0111535	progressive osseous heteroplasia	DO
DOID_0110204	http://purl.obolibrary.org/obo/DOID_0110204	Charcot-Marie-Tooth disease recessive intermediate B	DO
DOID_0111529	http://purl.obolibrary.org/obo/DOID_0111529	familial multiple nevi flammei	DO
DOID_1279	http://purl.obolibrary.org/obo/DOID_1279	ocular motility disease	DO
DOID_0111527	http://purl.obolibrary.org/obo/DOID_0111527	spinal muscular atrophy with progressive myoclonic epilepsy	DO
DOID_0111528	http://purl.obolibrary.org/obo/DOID_0111528	Naegeli-Franceschetti-Jadassohn syndrome	DO
DOID_11968	http://purl.obolibrary.org/obo/DOID_11968	postmenopausal atrophic vaginitis	DO
DOID_1278	http://purl.obolibrary.org/obo/DOID_1278	tolosa-hunt syndrome	DO
DOID_1271	http://purl.obolibrary.org/obo/DOID_1271	capillary disease	DO
DOID_1272	http://purl.obolibrary.org/obo/DOID_1272	telangiectasis	DO
DOID_1273	http://purl.obolibrary.org/obo/DOID_1273	respiratory syncytial virus infectious disease	DO
DOID_1270	http://purl.obolibrary.org/obo/DOID_1270	hereditary hemorrhagic telangiectasia	DO
DOID_0111521	http://purl.obolibrary.org/obo/DOID_0111521	autosomal dominant progressive external ophthalmoplegia 1	DO
DOID_10631	http://purl.obolibrary.org/obo/DOID_10631	partial optic atrophy	DO
DOID_11963	http://purl.obolibrary.org/obo/DOID_11963	esophagitis	DO
DOID_0111522	http://purl.obolibrary.org/obo/DOID_0111522	autosomal recessive progressive external ophthalmoplegia 1	DO
DOID_10632	http://purl.obolibrary.org/obo/DOID_10632	Wolfram syndrome	DO
DOID_0111520	http://purl.obolibrary.org/obo/DOID_0111520	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 3	DO
DOID_0111525	http://purl.obolibrary.org/obo/DOID_0111525	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 4	DO
DOID_0111526	http://purl.obolibrary.org/obo/DOID_0111526	Mullerian aplasia and hyperandrogenism	DO
DOID_0111523	http://purl.obolibrary.org/obo/DOID_0111523	autosomal recessive progressive external ophthalmoplegia with mitochondrial DNA deletions 3	DO
DOID_0111524	http://purl.obolibrary.org/obo/DOID_0111524	autosomal recessive progressive external ophthalmoplegia with mitochondrial DNA deletions 5	DO
DOID_0111518	http://purl.obolibrary.org/obo/DOID_0111518	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 5	DO
DOID_10606	http://purl.obolibrary.org/obo/DOID_10606	blind loop syndrome	DO
DOID_10607	http://purl.obolibrary.org/obo/DOID_10607	tropical sprue	DO
DOID_0111519	http://purl.obolibrary.org/obo/DOID_0111519	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions  6	DO
DOID_10608	http://purl.obolibrary.org/obo/DOID_10608	celiac disease	DO
DOID_0111516	http://purl.obolibrary.org/obo/DOID_0111516	autosomal recessive progressive external ophthalmoplegia with mitochondrial DNA deletions 4	DO
DOID_0111517	http://purl.obolibrary.org/obo/DOID_0111517	autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2	DO
DOID_10609	http://purl.obolibrary.org/obo/DOID_10609	rickets	DO
DOID_10603	http://purl.obolibrary.org/obo/DOID_10603	glucose intolerance	DO
