ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
OBI_0000785	IAO_0000033	http://purl.obolibrary.org/obo/OBI_0000785	http://purl.obolibrary.org/obo/IAO_0000033	is_a	OBI
OBI_0000785	OBI_0500000	http://purl.obolibrary.org/obo/OBI_0000785	http://purl.obolibrary.org/obo/OBI_0500000	part_of	OBI
OBI_0000784	OBI_0000836	http://purl.obolibrary.org/obo/OBI_0000784	http://purl.obolibrary.org/obo/OBI_0000836	is_a	OBI
OBI_0000787	OBI_0000443	http://purl.obolibrary.org/obo/OBI_0000787	http://purl.obolibrary.org/obo/OBI_0000443	is_a	OBI
OBI_0000787	NA	http://purl.obolibrary.org/obo/OBI_0000787	NA	is_a	OBI
OBI_0000789	IAO_0000109	http://purl.obolibrary.org/obo/OBI_0000789	http://purl.obolibrary.org/obo/IAO_0000109	is_a	OBI
OBI_0000788	OBI_0001936	http://purl.obolibrary.org/obo/OBI_0000788	http://purl.obolibrary.org/obo/OBI_0001936	is_a	OBI
CHEBI_27889	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_27889	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
OBI_0000790	OBI_0600064	http://purl.obolibrary.org/obo/OBI_0000790	http://purl.obolibrary.org/obo/OBI_0600064	is_a	OBI
OBI_0000792	OBI_0200171	http://purl.obolibrary.org/obo/OBI_0000792	http://purl.obolibrary.org/obo/OBI_0200171	is_a	OBI
OBI_0000791	OBI_0200186	http://purl.obolibrary.org/obo/OBI_0000791	http://purl.obolibrary.org/obo/OBI_0200186	is_a	OBI
OBI_0000794	OBI_0000905	http://purl.obolibrary.org/obo/OBI_0000794	http://purl.obolibrary.org/obo/OBI_0000905	is_a	OBI
OBI_0000793	OBI_0000822	http://purl.obolibrary.org/obo/OBI_0000793	http://purl.obolibrary.org/obo/OBI_0000822	is_a	OBI
OBI_0000793	OBI_0000471	http://purl.obolibrary.org/obo/OBI_0000793	http://purl.obolibrary.org/obo/OBI_0000471	part_of	OBI
OBI_0000796	OBI_0000681	http://purl.obolibrary.org/obo/OBI_0000796	http://purl.obolibrary.org/obo/OBI_0000681	is_a	OBI
OBI_0000795	OBI_0000832	http://purl.obolibrary.org/obo/OBI_0000795	http://purl.obolibrary.org/obo/OBI_0000832	is_a	OBI
OBI_0000798	BFO_0000040	http://purl.obolibrary.org/obo/OBI_0000798	http://purl.obolibrary.org/obo/BFO_0000040	is_a	OBI
OBI_0000799	OBI_0600064	http://purl.obolibrary.org/obo/OBI_0000799	http://purl.obolibrary.org/obo/OBI_0600064	is_a	OBI
SO_0000149	SO_0000353	http://purl.obolibrary.org/obo/SO_0000149	http://purl.obolibrary.org/obo/SO_0000353	is_a	OBI
SO_0000148	SO_0000353	http://purl.obolibrary.org/obo/SO_0000148	http://purl.obolibrary.org/obo/SO_0000353	is_a	OBI
OBI_0002500	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002500	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002501	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002501	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
PATO_0002203	PATO_0002201	http://purl.obolibrary.org/obo/PATO_0002203	http://purl.obolibrary.org/obo/PATO_0002201	is_a	OBI
PATO_0002204	PATO_0002201	http://purl.obolibrary.org/obo/PATO_0002204	http://purl.obolibrary.org/obo/PATO_0002201	is_a	OBI
OBI_0002504	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002504	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002505	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002505	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002502	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002502	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002503	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002503	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
PATO_0002201	PATO_0000186	http://purl.obolibrary.org/obo/PATO_0002201	http://purl.obolibrary.org/obo/PATO_0000186	is_a	OBI
PATO_0002202	PATO_0002201	http://purl.obolibrary.org/obo/PATO_0002202	http://purl.obolibrary.org/obo/PATO_0002201	is_a	OBI
OBI_0002511	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002511	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002512	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002512	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002510	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002510	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002515	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002515	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002516	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002516	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002513	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002513	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002514	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002514	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002508	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002508	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002509	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002509	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002506	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002506	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
OBI_0002507	OBI_0001479	http://purl.obolibrary.org/obo/OBI_0002507	http://purl.obolibrary.org/obo/OBI_0001479	is_a	OBI
IAO_0000303	IAO_0000300	http://purl.obolibrary.org/obo/IAO_0000303	http://purl.obolibrary.org/obo/IAO_0000300	is_a	OBI
IAO_0000304	IAO_0000300	http://purl.obolibrary.org/obo/IAO_0000304	http://purl.obolibrary.org/obo/IAO_0000300	is_a	OBI
IAO_0000301	IAO_0000300	http://purl.obolibrary.org/obo/IAO_0000301	http://purl.obolibrary.org/obo/IAO_0000300	is_a	OBI
IAO_0000302	IAO_0000590	http://purl.obolibrary.org/obo/IAO_0000302	http://purl.obolibrary.org/obo/IAO_0000590	is_a	OBI
IAO_0000300	IAO_0000030	http://purl.obolibrary.org/obo/IAO_0000300	http://purl.obolibrary.org/obo/IAO_0000030	is_a	OBI
OBI_0000741	OBI_0000648	http://purl.obolibrary.org/obo/OBI_0000741	http://purl.obolibrary.org/obo/OBI_0000648	is_a	OBI
OBI_0000740	OBI_0000112	http://purl.obolibrary.org/obo/OBI_0000740	http://purl.obolibrary.org/obo/OBI_0000112	is_a	OBI
OBI_0000743	OBI_0000070	http://purl.obolibrary.org/obo/OBI_0000743	http://purl.obolibrary.org/obo/OBI_0000070	is_a	OBI
OBI_0000742	CHEBI_33696	http://purl.obolibrary.org/obo/OBI_0000742	http://purl.obolibrary.org/obo/CHEBI_33696	is_a	OBI
OBI_0000742	OBI_0000047	http://purl.obolibrary.org/obo/OBI_0000742	http://purl.obolibrary.org/obo/OBI_0000047	is_a	OBI
OBI_0000744	OBI_0000659	http://purl.obolibrary.org/obo/OBI_0000744	http://purl.obolibrary.org/obo/OBI_0000659	is_a	OBI
OBI_0400012	OBI_0400008	http://purl.obolibrary.org/obo/OBI_0400012	http://purl.obolibrary.org/obo/OBI_0400008	is_a	OBI
OBI_0000736	OBI_0000047	http://purl.obolibrary.org/obo/OBI_0000736	http://purl.obolibrary.org/obo/OBI_0000047	is_a	OBI
OBI_0400013	OBI_0400079	http://purl.obolibrary.org/obo/OBI_0400013	http://purl.obolibrary.org/obo/OBI_0400079	is_a	OBI
OBI_0000735	OBI_0000047	http://purl.obolibrary.org/obo/OBI_0000735	http://purl.obolibrary.org/obo/OBI_0000047	is_a	OBI
OBI_0000738	OBI_0600064	http://purl.obolibrary.org/obo/OBI_0000738	http://purl.obolibrary.org/obo/OBI_0600064	is_a	OBI
OBI_0400014	OBI_0400099	http://purl.obolibrary.org/obo/OBI_0400014	http://purl.obolibrary.org/obo/OBI_0400099	is_a	OBI
OBI_0400015	OBI_0400099	http://purl.obolibrary.org/obo/OBI_0400015	http://purl.obolibrary.org/obo/OBI_0400099	is_a	OBI
OBI_0000737	OBI_1110108	http://purl.obolibrary.org/obo/OBI_0000737	http://purl.obolibrary.org/obo/OBI_1110108	is_a	OBI
OBI_0000737	OBI_0000047	http://purl.obolibrary.org/obo/OBI_0000737	http://purl.obolibrary.org/obo/OBI_0000047	is_a	OBI
OBI_0000739	OBI_0000673	http://purl.obolibrary.org/obo/OBI_0000739	http://purl.obolibrary.org/obo/OBI_0000673	is_a	OBI
OBI_0400010	OBI_0400060	http://purl.obolibrary.org/obo/OBI_0400010	http://purl.obolibrary.org/obo/OBI_0400060	is_a	OBI
OBI_0400011	OBI_0400083	http://purl.obolibrary.org/obo/OBI_0400011	http://purl.obolibrary.org/obo/OBI_0400083	is_a	OBI
OBI_0400016	OBI_0400099	http://purl.obolibrary.org/obo/OBI_0400016	http://purl.obolibrary.org/obo/OBI_0400099	is_a	OBI
CHEBI_59424	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59424	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
