Node	Node_Long	Definition	OntologyScope
OBI_0000785	http://purl.obolibrary.org/obo/OBI_0000785	study design controlled variable	OBI
OBI_0000784	http://purl.obolibrary.org/obo/OBI_0000784	anticoagulant-containing test tube	OBI
OBI_0000787	http://purl.obolibrary.org/obo/OBI_0000787	human antithrombin-III in blood assay	OBI
OBI_0000789	http://purl.obolibrary.org/obo/OBI_0000789	survival rate	OBI
OBI_0000788	http://purl.obolibrary.org/obo/OBI_0000788	fluorescently labeled MHC multimer	OBI
CHEBI_27889	http://purl.obolibrary.org/obo/CHEBI_27889	lead(0)	OBI
OBI_0000790	http://purl.obolibrary.org/obo/OBI_0000790	recombinant BAC cloning	OBI
OBI_0000792	http://purl.obolibrary.org/obo/OBI_0000792	statistical model validation	OBI
OBI_0000791	http://purl.obolibrary.org/obo/OBI_0000791	multiple testing correction objective	OBI
OBI_0000794	http://purl.obolibrary.org/obo/OBI_0000794	transcription factor binding site	OBI
OBI_0000793	http://purl.obolibrary.org/obo/OBI_0000793	double blind study execution	OBI
OBI_0000796	http://purl.obolibrary.org/obo/OBI_0000796	purification objective	OBI
OBI_0000795	http://purl.obolibrary.org/obo/OBI_0000795	glucometer	OBI
OBI_0000798	http://purl.obolibrary.org/obo/OBI_0000798	capsule shell	OBI
OBI_0000799	http://purl.obolibrary.org/obo/OBI_0000799	recombinant phage cloning	OBI
SO_0000149	http://purl.obolibrary.org/obo/SO_0000149	contig	OBI
SO_0000148	http://purl.obolibrary.org/obo/SO_0000148	supercontig	OBI
OBI_0002500	http://purl.obolibrary.org/obo/OBI_0002500	amniotic fluid specimen	OBI
OBI_0002501	http://purl.obolibrary.org/obo/OBI_0002501	bile specimen	OBI
PATO_0002203	http://purl.obolibrary.org/obo/PATO_0002203	right handedness	OBI
PATO_0002204	http://purl.obolibrary.org/obo/PATO_0002204	ambidextrous handedness	OBI
OBI_0002504	http://purl.obolibrary.org/obo/OBI_0002504	digestive system fluid or secretion specimen	OBI
OBI_0002505	http://purl.obolibrary.org/obo/OBI_0002505	milk specimen	OBI
OBI_0002502	http://purl.obolibrary.org/obo/OBI_0002502	cerebrospinal fluid specimen	OBI
OBI_0002503	http://purl.obolibrary.org/obo/OBI_0002503	feces specimen	OBI
PATO_0002201	http://purl.obolibrary.org/obo/PATO_0002201	handedness	OBI
PATO_0002202	http://purl.obolibrary.org/obo/PATO_0002202	left handedness	OBI
OBI_0002511	http://purl.obolibrary.org/obo/OBI_0002511	vitreous humor specimen	OBI
OBI_0002512	http://purl.obolibrary.org/obo/OBI_0002512	bone marrow specimen	OBI
OBI_0002510	http://purl.obolibrary.org/obo/OBI_0002510	synovial fluid specimen	OBI
OBI_0002515	http://purl.obolibrary.org/obo/OBI_0002515	pleural fluid specimen	OBI
OBI_0002516	http://purl.obolibrary.org/obo/OBI_0002516	brain specimen	OBI
OBI_0002513	http://purl.obolibrary.org/obo/OBI_0002513	placenta specimen	OBI
OBI_0002514	http://purl.obolibrary.org/obo/OBI_0002514	peritoneal fluid specimen	OBI
OBI_0002508	http://purl.obolibrary.org/obo/OBI_0002508	sputum specimen	OBI
OBI_0002509	http://purl.obolibrary.org/obo/OBI_0002509	sweat specimen	OBI
OBI_0002506	http://purl.obolibrary.org/obo/OBI_0002506	pericardial fluid specimen	OBI
OBI_0002507	http://purl.obolibrary.org/obo/OBI_0002507	saliva specimen	OBI
IAO_0000303	http://purl.obolibrary.org/obo/IAO_0000303	institutional identification	OBI
IAO_0000304	http://purl.obolibrary.org/obo/IAO_0000304	caption	OBI
IAO_0000301	http://purl.obolibrary.org/obo/IAO_0000301	citation	OBI
IAO_0000302	http://purl.obolibrary.org/obo/IAO_0000302	author identification	OBI
IAO_0000300	http://purl.obolibrary.org/obo/IAO_0000300	textual entity	OBI
OBI_0000741	http://purl.obolibrary.org/obo/OBI_0000741	topologically preserved clustered data set	OBI
OBI_0000740	http://purl.obolibrary.org/obo/OBI_0000740	material sample role	OBI
OBI_0000743	http://purl.obolibrary.org/obo/OBI_0000743	immune response assay	OBI
OBI_0000742	http://purl.obolibrary.org/obo/OBI_0000742	nucleic acid restriction enzyme digest	OBI
OBI_0000744	http://purl.obolibrary.org/obo/OBI_0000744	material sampling process	OBI
OBI_0400012	http://purl.obolibrary.org/obo/OBI_0400012	Bactiflow	OBI
OBI_0000736	http://purl.obolibrary.org/obo/OBI_0000736	single fragment library	OBI
OBI_0400013	http://purl.obolibrary.org/obo/OBI_0400013	band pass filter	OBI
OBI_0000735	http://purl.obolibrary.org/obo/OBI_0000735	NTP-2000	OBI
OBI_0400014	http://purl.obolibrary.org/obo/OBI_0400014	BioSorter1000	OBI
OBI_0000738	http://purl.obolibrary.org/obo/OBI_0000738	restriction enzyme based cloning	OBI
OBI_0000737	http://purl.obolibrary.org/obo/OBI_0000737	cloning vector	OBI
OBI_0400015	http://purl.obolibrary.org/obo/OBI_0400015	BioSorter2000	OBI
OBI_0000739	http://purl.obolibrary.org/obo/OBI_0000739	Student's t-test	OBI
OBI_0400010	http://purl.obolibrary.org/obo/OBI_0400010	argon ion laser	OBI
OBI_0400011	http://purl.obolibrary.org/obo/OBI_0400011	avalanche photodiode	OBI
OBI_0400016	http://purl.obolibrary.org/obo/OBI_0400016	BioSorter250	OBI
CHEBI_59424	http://purl.obolibrary.org/obo/CHEBI_59424	bromophenol blue	OBI
OBI_0400017	http://purl.obolibrary.org/obo/OBI_0400017	BioSorter500	OBI
OBI_0400018	http://purl.obolibrary.org/obo/OBI_0400018	Cell Lab Quanta SC	OBI
OBI_0400019	http://purl.obolibrary.org/obo/OBI_0400019	charge plate	OBI
UBERON_0000007	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland	OBI
