ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
TGEMO_00055	TGEMO_00054	http://purl.obolibrary.org/obo/TGEMO_00055	http://purl.obolibrary.org/obo/TGEMO_00054	is_a	TGEMO
TGEMO_00054	TGEMO_00053	http://purl.obolibrary.org/obo/TGEMO_00054	http://purl.obolibrary.org/obo/TGEMO_00053	is_a	TGEMO
TGEMO_00057	TGEMO_00000	http://purl.obolibrary.org/obo/TGEMO_00057	http://purl.obolibrary.org/obo/TGEMO_00000	is_a	TGEMO
TGEMO_00056	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00056	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00051	TGEMO_00050	http://purl.obolibrary.org/obo/TGEMO_00051	http://purl.obolibrary.org/obo/TGEMO_00050	is_a	TGEMO
TGEMO_00050	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00050	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00053	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00053	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00052	TGEMO_00051	http://purl.obolibrary.org/obo/TGEMO_00052	http://purl.obolibrary.org/obo/TGEMO_00051	is_a	TGEMO
TGEMO_00059	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00059	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
TGEMO_00058	TGEMO_00057	http://purl.obolibrary.org/obo/TGEMO_00058	http://purl.obolibrary.org/obo/TGEMO_00057	is_a	TGEMO
TGEMO_00044	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00044	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00043	TGEMO_00042	http://purl.obolibrary.org/obo/TGEMO_00043	http://purl.obolibrary.org/obo/TGEMO_00042	is_a	TGEMO
TGEMO_00046	TGEMO_00045	http://purl.obolibrary.org/obo/TGEMO_00046	http://purl.obolibrary.org/obo/TGEMO_00045	is_a	TGEMO
TGEMO_00045	TGEMO_00044	http://purl.obolibrary.org/obo/TGEMO_00045	http://purl.obolibrary.org/obo/TGEMO_00044	is_a	TGEMO
TGEMO_00040	TGEMO_00038	http://purl.obolibrary.org/obo/TGEMO_00040	http://purl.obolibrary.org/obo/TGEMO_00038	is_a	TGEMO
TGEMO_00042	TGEMO_00041	http://purl.obolibrary.org/obo/TGEMO_00042	http://purl.obolibrary.org/obo/TGEMO_00041	is_a	TGEMO
TGEMO_00041	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00041	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00048	TGEMO_00036	http://purl.obolibrary.org/obo/TGEMO_00048	http://purl.obolibrary.org/obo/TGEMO_00036	is_a	TGEMO
TGEMO_00047	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00047	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00049	TGEMO_00035	http://purl.obolibrary.org/obo/TGEMO_00049	http://purl.obolibrary.org/obo/TGEMO_00035	is_a	TGEMO
TGEMO_00071	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00071	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
TGEMO_00070	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00070	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
TGEMO_00077	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00077	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
TGEMO_00076	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00076	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
TGEMO_00079	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00079	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
TGEMO_00078	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00078	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
TGEMO_00073	TGEMO_00087	http://purl.obolibrary.org/obo/TGEMO_00073	http://purl.obolibrary.org/obo/TGEMO_00087	is_a	TGEMO
